label,total_pkts,out_pkts,in_pkts,out_bytes,in_bytes,bigram_OO,bigram_OI,bigram_IO,bigram_II,pkt_1,pkt_2,pkt_3,pkt_4,pkt_5,pkt_6,pkt_7,pkt_8,pkt_9,pkt_10,pkt_11,pkt_12,pkt_13,pkt_14,pkt_15,pkt_16,pkt_17,pkt_18,pkt_19,pkt_20,pkt_21,pkt_22,pkt_23,pkt_24,pkt_25,pkt_26,pkt_27,pkt_28,pkt_29,pkt_30,pkt_31,pkt_32,pkt_33,pkt_34,pkt_35,pkt_36,pkt_37,pkt_38,pkt_39,pkt_40,pkt_41,pkt_42,pkt_43,pkt_44,pkt_45,pkt_46,pkt_47,pkt_48,pkt_49,pkt_50
amazon.in,296,134,162,36647,67351,81,52,52,110,66,66,66,66,-66,54,1954,-66,54,1954,-66,-66,54,54,1954,1954,-54,-54,-2470,54,-951,-54,-54,-951,-1262,66,66,-1262,54,-54,-54,-54,118,118,146,307,146,307,-54,-951,-950,-2470,-1262,66,66,54,66,118,146,307
amazon.in,476,209,267,60270,97212,144,64,64,203,66,66,66,66,-66,-66,-66,-66,54,54,54,54,1954,1954,1954,1954,1314,1314,1314,1314,-66,-66,-54,-66,-54,-66,-118,-888,-1262,-118,-1262,-2470,-887,-54,-54,1314,1314,1314,1314,66,66,66,54,54,54,-118,-887,-2470,-118,-2470
amazon.in,277,124,153,35280,63454,78,45,45,108,66,66,66,66,-66,54,1954,-66,54,1954,-66,-66,54,54,1954,1954,-54,-54,-54,-952,-2470,66,54,-54,-66,-54,-2470,-952,-66,-54,54,-2470,-951,-951,-1262,66,66,54,-1262,54,118,118,118,118,146,307,146,307,146,307
amazon.in,361,158,203,45849,84692,100,58,57,145,66,66,66,66,-66,54,1954,-66,54,1954,-66,-66,54,54,1954,1954,-66,-54,-2470,-951,-66,54,-54,-2470,-951,-54,54,-54,-951,-1262,66,66,-1262,54,118,118,118,146,307,146,307,146,307,-54,-54,-950,-1262,66,66,-1262
amazon.in,303,136,167,38018,66391,88,47,47,120,66,66,66,66,-66,54,1954,-66,54,1954,-66,-66,54,54,1954,1954,-54,-54,-54,-54,-54,-118,-1262,66,66,-1262,-952,-888,-2470,54,66,54,-54,-66,-54,-118,-888,-118,-887,-2470,-1262,66,66,66,66,54,66,-1262,54,118
amazon.in,320,141,179,39549,71505,92,48,48,131,66,66,66,66,-66,54,1954,-66,54,1954,-66,54,1954,-66,54,1954,-66,-66,-54,-66,-54,-54,-66,-54,-118,-885,-2470,66,66,54,-1262,-951,-950,-1262,-1262,66,66,54,66,-2470,-118,-1262,-887,54,54,118,118,118,146,307
amazon.in,813,298,515,123520,286506,196,102,101,413,66,66,66,66,-66,54,1954,-66,-66,-66,54,54,54,1954,1954,1954,-66,-54,-66,-54,-66,-54,-1262,-950,66,-1262,-66,-54,-2470,-952,54,54,-1262,-118,-1262,66,54,-888,54,-1262,-950,-1262,66,54,118,118,118,118,146,307
amazon.in,446,189,257,52419,97771,125,64,63,193,66,66,66,66,-66,54,1954,-66,-66,-66,54,54,54,1954,1954,1954,-54,-54,-66,-54,-1262,-952,-1262,-952,66,54,66,-2470,54,-66,-54,-66,-54,-952,-1262,-1262,66,66,54,-1262,-1262,-950,54,118,118,118,146,307,118,146
amazon.in,289,127,162,41874,66167,83,44,43,118,66,66,66,66,-66,-66,-66,54,54,54,-66,54,1954,1954,1954,1954,-66,-54,-66,-54,-66,-66,-54,-54,-951,-2470,66,54,-952,-1262,-951,-1262,-951,-2470,-1262,-1262,66,66,66,54,54,54,118,118,118,146,307,146,307,118
amazon.in,376,160,216,43192,81683,103,56,56,160,66,66,66,66,-66,54,1954,-66,54,1954,-66,-66,54,54,1954,1954,-66,-54,-66,-54,-54,-1262,-1262,-950,-1262,54,-1262,-951,-54,-66,-54,-952,-1262,66,66,54,-1262,-1262,54,-951,-1262,66,54,-886,66,118,118,118,118,146
